"batsman","season_played","match","sixes","six_per_match","fours","four_per_match","avg_boundary"
"CH Gayle",12,131,349,2.66,384,2.93,2.7950000000000000
"LMP Simmons",4,29,44,1.52,109,3.76,2.6400000000000000
"ML Hayden",3,32,44,1.38,121,3.78,2.5800000000000000
"SE Marsh",9,69,78,1.13,266,3.86,2.4950000000000000
"DA Warner",11,142,195,1.37,510,3.59,2.4800000000000000
"KL Rahul",7,72,104,1.44,234,3.25,2.3450000000000000
"CA Lynn",6,41,63,1.54,128,3.12,2.3300000000000000
"MEK Hussey",7,58,52,0.90,198,3.41,2.1550000000000000
"JC Buttler",5,57,77,1.35,167,2.93,2.1400000000000000
"V Sehwag",8,104,106,1.02,334,3.21,2.1150000000000000
